Country,REGION,Dimension 1: Political Rights and Safety,Dimension 2: Financial and Health Protections,Dimension 3: Protection for the Most Vulnerable,Dimension 4: Conflict,Mean Vulnerability ,POPULATION,ESTIMATED PROPORTION OF POPULATION IN MODERN SLAVERY,ESTIMATED NUMBER IN MODERN SLAVERY,GOVERNMENT RESPONSE RANK,Milestone 1: Victims are supported to exit slavery (/32),Milestone 1: Victims are supported to exit slavery (%),Milestone 2: Criminal justice responses (/21),Milestone 2: Criminal justice responses (%),Milestone 3: Coordination and accountability (/14),Milestone 3: Coordination and accountability (%),Milestone 4: Addressing risk (/25),Milestone 4: Addressing risk (%),Milestone 5: Investigating supply chains (/7),Milestone 5: Investigating supply chains (%),Total score (/100),Corruption or state sanctioned forced labour score (/-2),Total score (U-V),CREDIT rating
Mauritania,SUBSAHARAN AFRICA,65.96,40.54,49.85,30.74,46.77,4068000.0,1.05788849287,43000.0,133.0,8.03571428571,25,6.94444444444,32.4074074074,1.78571428571,12.5,10.119047619,40.4761904762,0,0,26.8849206349,-1,25.8849206349,CC
Mauritius,SUBSAHARAN AFRICA,29.24,24.49,26.58,1.0,20.33,1265000.0,0.165312566084,2100.0,113.0,11.0714285714,34.4444444444,5.87301587302,27.4074074074,2.67857142857,18.75,11.3095238095,45.2380952381,0,0,30.9325396825,0,30.9325396825,CCC
Mexico,AMERICAS,43.03,30.36,52.84,61.85,47.02,127017000.0,0.296641394459,376800.0,34.0,14.4642857143,45,13.5317460317,63.1481481481,7.14285714286,50,18.4523809524,73.8095238095,0,0,53.5912698413,-1,52.5912698413,BB
Republic of Moldova,RUSSIA AND EURASIA,47.52,28.2,38.04,14.41,32.04,3538000.0,0.294602886007,10400.0,36.0,17.8571428571,55.5555555556,12.3412698413,57.5925925926,7.14285714286,50,16.0714285714,64.2857142857,0,0,53.4126984127,-1,52.4126984127,BB
Mongolia,ASIA,39.22,36.74,40.87,3.54,30.09,2959000.0,0.294602886007,8700.0,112.0,8.92857142857,27.7777777778,6.78571428571,31.6666666667,4.46428571429,31.25,11.9047619048,47.619047619,0,0,32.0833333333,-1,31.0833333333,CCC
Montenegro,EUROPE,41.68,22.15,38.08,23.45,31.34,622000.0,0.404284594056,2500.0,15.0,22.380952381,69.6296296296,12.9761904762,60.5555555556,8.03571428571,56.25,14.880952381,59.5238095238,0,0,58.2738095238,0,58.2738095238,BB
Morocco,MIDDLE EAST AND NORTH AFRICA,55.83,18.58,56.08,22.18,38.17,34378000.0,0.639105058845,219700.0,139.0,2.08333333333,6.48148148148,5.27777777778,24.6296296296,2.67857142857,18.75,13.0952380952,52.380952381,0,0,23.1349206349,0,23.1349206349,CC
Mozambique,SUBSAHARAN AFRICA,39.91,48.46,54.4,35.86,44.65,27978000.0,0.520335244022,145600.0,69.0,17.3214285714,53.8888888889,10.8333333333,50.5555555556,1.78571428571,12.5,11.9047619048,47.619047619,0,0,41.8452380952,-1,40.8452380952,B
Burma,ASIA,57.81,50.11,50.53,66.99,56.36,53897000.0,0.955735940776,515100.0,102.0,13.2142857143,41.1111111111,1.90476190476,8.88888888889,7.14285714286,50,12.5,50,0,0,34.7619047619,-1,33.7619047619,CCC
Namibia,SUBSAHARAN AFRICA,39.0,43.68,51.42,18.27,38.09,2459000.0,0.674435932503,16600.0,110.0,9.04761904762,28.1481481481,4.72222222222,22.037037037,4.46428571429,31.25,13.0952380952,52.380952381,0,0,31.3293650794,0,31.3293650794,CCC
Nepal,ASIA,42.3,43.22,34.74,41.21,40.37,28514000.0,0.8227,234600.0,54.0,13.75,42.7777777778,8.1746031746,38.1481481481,10.7142857143,75,15.4761904762,61.9047619048,0,0,48.1150793651,-1,47.1150793651,B
Netherlands,EUROPE,17.6,17.86,21.64,28.58,21.42,16896000.0,0.103574810606,17500.0,1.0,23.9880952381,74.6296296296,16.9444444444,79.0740740741,12.5,87.5,25.0,100.0,0,0,78.4325396825,0,78.4325396825,A
New Zealand,ASIA,13.31,22.24,16.09,21.51,18.29,4552000.0,0.018,800.0,21.0,17.2619047619,53.7037037037,10.2777777778,47.962962963,6.25,43.75,22.0238095238,88.0952380952,0,0,55.8134920635,0,55.8134920635,BB
Nicaragua,AMERICAS,43.53,31.92,39.79,23.67,34.73,6082000.0,0.404284594056,24600.0,41.0,14.1666666667,44.0740740741,14.1666666667,66.1111111111,8.03571428571,56.25,13.0952380952,52.380952381,0,0,49.4642857143,0,49.4642857143,B
Niger,SUBSAHARAN AFRICA,57.7,48.17,42.13,40.38,47.1,19899000.0,0.638396570595,127000.0,141.0,3.9880952381,12.4074074074,6.26984126984,29.2592592593,3.57142857143,25,10.119047619,40.4761904762,0,0,23.9484126984,-1,22.9484126984,CC
Nigeria,SUBSAHARAN AFRICA,60.94,47.84,59.76,80.84,62.34,182202000.0,0.48050348,875500.0,51.0,16.3095238095,50.7407407407,12.7777777778,59.6296296296,7.14285714286,50,11.3095238095,45.2380952381,0,0,47.5396825397,0,47.5396825397,B
"Korea, Democratic People's Republic of",ASIA,71.2,48.27,62.88,1.0,45.84,25155000.0,4.37288809382,1100000.0,161.0,0,0,-2.97619047619,-13.8888888889,0,0,-1.78571428571,-7.14285714286,0,0,-4.7619047619,-1,-5.7619047619,D
Norway,EUROPE,17.88,19.9,14.85,34.9,21.88,5188000.0,0.018,900.0,10.0,21.1904761905,65.9259259259,17.6587301587,82.4074074074,5.35714285714,37.5,17.2619047619,69.0476190476,0,0,61.4682539683,0,61.4682539683,BBB
Oman,MIDDLE EAST AND NORTH AFRICA,57.65,21.03,62.88,12.6,38.54,4491000.0,0.294602886007,13200.0,117.0,11.6071428571,36.1111111111,6.26984126984,29.2592592593,1.78571428571,12.5,11.9047619048,47.619047619,0,0,31.5674603175,-1,30.5674603175,CCC
Pakistan,ASIA,58.4,41.98,52.7,96.79,62.47,188925000.0,1.130009,2134900.0,78.0,9.16666666667,28.5185185185,7.93650793651,37.037037037,3.57142857143,25,19.0476190476,76.1904761905,0,0,39.7222222222,-1,38.7222222222,CCC
Panama,AMERICAS,37.46,29.14,46.18,23.55,34.08,3929000.0,0.404284594056,15900.0,80.0,3.80952380952,11.8518518519,15.6746031746,73.1481481481,5.35714285714,37.5,14.2857142857,57.1428571429,0,0,39.126984127,-1,38.126984127,CCC
Papua New Guinea,ASIA,50.12,62.85,100.0,23.1,59.02,7619000.0,0.620019981919,47200.0,155.0,2.08333333333,6.48148148148,5.07936507937,23.7037037037,3.57142857143,25,3.57142857143,14.2857142857,0,0,14.3055555556,-1,13.3055555556,C
Paraguay,AMERICAS,46.02,21.22,38.92,26.14,33.07,6639000.0,0.404284594056,26800.0,56.0,11.5476190476,35.9259259259,11.9047619048,55.5555555556,5.35714285714,37.5,19.0476190476,76.1904761905,0,0,47.8571428571,-1,46.8571428571,B
Peru,AMERICAS,43.85,31.98,44.81,30.33,37.74,31377000.0,0.639105058845,200500.0,62.0,15.3571428571,47.7777777778,6.07142857143,28.3333333333,8.92857142857,62.5,15.4761904762,61.9047619048,0,0,45.8333333333,-1,44.8333333333,B
Philippines,ASIA,44.76,39.62,52.34,53.95,47.67,100699000.0,0.398226397482,401000.0,29.0,14.9404761905,46.4814814815,13.4523809524,62.7777777778,7.14285714286,50,19.6428571429,78.5714285714,0,0,55.1785714286,-1,54.1785714286,BB
Poland,EUROPE,34.76,19.5,29.07,23.33,26.66,38025000.0,0.476176199869,181100.0,30.0,14.8214285714,46.1111111111,10.2777777778,47.962962963,9.82142857143,68.75,19.0476190476,76.1904761905,0,0,53.9682539683,0,53.9682539683,BB
Portugal,EUROPE,21.5,22.62,16.06,16.89,19.27,10384000.0,0.123223261488,12800.0,6.0,18.8095238095,58.5185185185,15.753968254,73.5185185185,9.82142857143,68.75,20.8333333333,83.3333333333,0,0,65.2182539683,0,65.2182539683,BBB
Qatar,MIDDLE EAST AND NORTH AFRICA,48.79,15.26,50.5,12.3,31.71,2235000.0,1.356,30300.0,83.0,16.8452380952,52.4074074074,9.48412698413,44.2592592593,3.57142857143,25,8.92857142857,35.7142857143,0,0,38.8293650794,-1,37.8293650794,CCC
Republic of the Congo,SUBSAHARAN AFRICA,65.17,44.69,52.43,28.94,47.81,4620000.0,0.638396570595,29500.0,142.0,7.14285714286,22.2222222222,1.90476190476,8.88888888889,5.35714285714,37.5,8.92857142857,35.7142857143,0,0,23.3333333333,-1,22.3333333333,CC
Romania,EUROPE,39.26,25.86,31.83,18.74,28.92,19849000.0,0.404284594056,80200.0,72.0,12.0833333333,37.5925925926,7.89682539683,36.8518518519,8.03571428571,56.25,12.5,50.0,0,0,40.5158730159,0,40.5158730159,B
Russia,RUSSIA AND EURASIA,57.21,18.47,40.66,57.47,43.45,143335000.0,0.7315,1048500.0,126.0,6.90476190476,21.4814814815,6.07142857143,28.3333333333,1.78571428571,12.5,15.4761904762,61.9047619048,0,0,30.2380952381,-2,28.2380952381,CC
Rwanda,SUBSAHARAN AFRICA,55.44,47.65,46.23,42.0,47.83,11610000.0,0.638396570595,74100.0,86.0,9.94047619048,30.9259259259,9.68253968254,45.1851851852,4.46428571429,31.25,13.6904761905,54.7619047619,0,0,37.7777777778,-1,36.7777777778,CCC
Saudi Arabia,MIDDLE EAST AND NORTH AFRICA,64.94,30.92,37.2,28.84,40.47,31540000.0,0.2919,92100.0,123.0,9.22619047619,28.7037037037,7.38095238095,34.4444444444,3.57142857143,25,9.52380952381,38.0952380952,0,0,29.7023809524,-1,28.7023809524,CC
Senegal,SUBSAHARAN AFRICA,44.97,42.31,36.96,35.48,39.93,15129000.0,0.520335244022,78700.0,74.0,15.9523809524,49.6296296296,6.98412698413,32.5925925926,3.57142857143,25,13.6904761905,54.7619047619,0,0,40.1984126984,0,40.1984126984,B
Serbia,EUROPE,47.8,21.75,30.24,27.05,31.71,7087000.0,0.404284594056,28700.0,27.0,19.8214285714,61.6666666667,16.4285714286,76.6666666667,4.46428571429,31.25,13.6904761905,54.7619047619,0,0,54.4047619048,0,54.4047619048,BB
Sierra Leone,SUBSAHARAN AFRICA,50.57,53.29,41.72,17.7,40.82,6453000.0,0.674435932503,43500.0,64.0,14.2857142857,44.4444444444,9.7619047619,45.5555555556,6.25,43.75,13.6904761905,54.7619047619,0,0,43.9880952381,-1,42.9880952381,B
Singapore,ASIA,29.85,22.11,20.58,1.0,18.39,5563000.0,0.165312566084,9200.0,129.0,11.6071428571,36.1111111111,4.80158730159,22.4074074074,0,0,10.7142857143,42.8571428571,0,0,27.123015873,0,27.123015873,CC
Slovakia,EUROPE,32.47,20.94,31.6,16.42,25.36,5426000.0,0.228446522977,12400.0,50.0,18.630952381,57.962962963,9.0873015873,42.4074074074,4.46428571429,31.25,15.4761904762,61.9047619048,0,0,47.6587301587,0,47.6587301587,B
Slovenia,EUROPE,21.82,22.08,28.5,13.72,21.53,2066000.0,0.228446522977,4700.0,26.0,16.7261904762,52.037037037,10.9920634921,51.2962962963,8.03571428571,56.25,19.0476190476,76.1904761905,0,0,54.8015873016,0,54.8015873016,BB
Somalia,SUBSAHARAN AFRICA,73.03,64.82,55.97,74.46,67.07,10787000.0,1.130009,121900.0,0.0,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
South Africa,SUBSAHARAN AFRICA,40.27,43.06,58.3,41.84,45.87,54954000.0,0.452505732067,248700.0,63.0,12.5,38.8888888889,11.9444444444,55.7407407407,4.46428571429,31.25,16.0714285714,64.2857142857,0,0,44.9801587302,-1,43.9801587302,B
"Korea, Republic of",ASIA,38.2,34.64,28.98,17.32,29.78,50672000.0,0.404284594056,204900.0,124.0,11.5476190476,35.9259259259,6.8253968254,31.8518518519,1.78571428571,12.5,8.33333333333,33.3333333333,0,0,28.4920634921,0,28.4920634921,CC
South Sudan,SUBSAHARAN AFRICA,74.73,50.7,60.8,76.15,65.59,12340000.0,1.130009,139400.0,152.0,6.54761904762,20.3703703704,0.31746031746,1.48148148148,2.67857142857,18.75,7.14285714286,28.5714285714,0,0,16.6865079365,-1,15.6865079365,C
Spain,EUROPE,25.14,23.19,18.65,29.67,24.16,46513000.0,0.018,8400.0,8.0,24.7619047619,77.037037037,13.7301587302,64.0740740741,7.14285714286,50,18.4523809524,73.8095238095,0,0,64.0873015873,0,64.0873015873,BBB
Sri Lanka,ASIA,47.01,35.12,31.82,31.08,36.26,20781000.0,0.220970086272,45900.0,67.0,8.33333333333,25.9259259259,8.25396825397,38.5185185185,5.35714285714,37.5,20.8333333333,83.3333333333,0,0,42.7777777778,-1,41.7777777778,B
Sudan,SUBSAHARAN AFRICA,80.64,54.12,46.18,85.04,66.49,40235000.0,1.130009,454700.0,145.0,7.7380952381,24.0740740741,5.87301587302,27.4074074074,0.892857142857,6.25,8.33333333333,33.3333333333,0,0,22.8373015873,-1,21.8373015873,CC
Suriname,AMERICAS,36.66,12.35,67.0,38.67,38.67,543000.0,0.452773541191,2500.0,135.0,6.60714285714,20.5555555556,4.16666666667,19.4444444444,4.46428571429,31.25,10.119047619,40.4761904762,0,0,25.3571428571,0,25.3571428571,CC
Swaziland,SUBSAHARAN AFRICA,57.69,53.88,67.33,15.39,48.57,1287000.0,0.674435932503,8700.0,118.0,11.6666666667,36.2962962963,4.72222222222,22.037037037,5.35714285714,37.5,10.7142857143,42.8571428571,0,0,32.4603174603,-2,30.4603174603,CCC
Sweden,EUROPE,21.39,19.7,10.84,38.6,22.63,9754000.0,0.018,1800.0,4.0,23.2142857143,72.2222222222,13.4920634921,62.962962963,10.7142857143,75,18.4523809524,73.8095238095,0,0,65.873015873,0,65.873015873,BBB
Switzerland,EUROPE,16.93,16.6,13.69,30.98,19.55,8267000.0,0.018,1500.0,23.0,19.3452380952,60.1851851852,13.8888888889,64.8148148148,3.57142857143,25,18.4523809524,73.8095238095,0,0,55.2579365079,0,55.2579365079,BB
Syrian Arab Republic,MIDDLE EAST AND NORTH AFRICA,95.67,35.93,60.97,72.98,66.39,22769000.0,1.130009,257300.0,0.0,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Taiwan,ASIA,34.91,33.38,22.34,1.76,23.1,23476640.0,0.228446522977,53600.0,76.0,16.8077601411,50.5555555556,5.06172839506,23.621399177,6.48148148148,43.75,11.1111111111,42.8571428571,0,0,39.5061728395,0,39.5061728395,CCC
Tajikistan,RUSSIA AND EURASIA,62.85,37.62,41.68,27.53,42.42,8482000.0,0.638396570595,54100.0,88.0,13.4964726631,41.9890260631,7.38095238095,34.4444444444,3.57142857143,25,13.6904761905,54.7619047619,0,0,38.139329806,-2,36.139329806,CCC
United Republic of Tanzania,SUBSAHARAN AFRICA,51.66,54.67,47.66,40.46,48.61,53470000.0,0.638396570595,341400.0,120.0,8.69047619048,27.037037037,5.6746031746,26.4814814815,3.57142857143,25,11.9047619048,47.619047619,0,0,29.8412698413,-1,28.8412698413,CC
Thailand,ASIA,49.23,28.62,48.97,63.33,47.54,67959000.0,0.626048091197,425500.0,68.0,11.3095238095,35.1851851852,7.69841269841,35.9259259259,8.03571428571,56.25,15.4761904762,61.9047619048,0,0,42.5198412698,-1,41.5198412698,B
Timor-Leste,ASIA,38.88,48.07,68.55,1.0,39.13,1235000.0,0.2858,3500.0,140.0,8.33333333333,25.9259259259,5.55555555556,25.9259259259,0,0,10.119047619,40.4761904762,0,0,24.0079365079,-1,23.0079365079,CC
Togo,SUBSAHARAN AFRICA,64.78,39.82,47.78,24.09,44.12,7305000.0,0.638396570595,46600.0,151.0,8.5119047619,26.4814814815,0.992063492063,4.62962962963,4.46428571429,31.25,4.7619047619,19.0476190476,0,0,18.7301587302,0,18.7301587302,C
Trinidad and Tobago,AMERICAS,35.88,14.4,67.0,16.26,33.38,1360000.0,0.45277,6200.0,75.0,10,31.1111111111,9.56349206349,44.6296296296,4.46428571429,31.25,16.6666666667,66.6666666667,0,0,40.6944444444,-1,39.6944444444,CCC
Tunisia,MIDDLE EAST AND NORTH AFRICA,40.01,25.97,42.84,28.91,34.43,11102000.0,0.765573770492,85000.0,95.0,11.6071428571,36.1111111111,4.7619047619,22.2222222222,2.67857142857,18.75,15.4761904762,61.9047619048,0,0,34.5238095238,0,34.5238095238,CCC
Turkey,EUROPE,45.47,29.38,44.11,57.55,44.13,76721000.0,0.626048091197,480300.0,55.0,18.4523809524,57.4074074074,10.1587301587,47.4074074074,5.35714285714,37.5,13.0952380952,52.380952381,0,0,47.0634920635,0,47.0634920635,B
Turkmenistan,RUSSIA AND EURASIA,68.14,28.65,43.34,9.22,37.34,5374000.0,0.294602886007,15800.0,132.0,4.7619047619,14.8148148148,7.65873015873,35.7407407407,1.78571428571,12.5,13.6904761905,54.7619047619,0,0,27.8968253968,-2,25.8968253968,CC
Uganda,SUBSAHARAN AFRICA,54.89,52.18,39.45,48.73,48.81,39032000.0,0.626048091197,244400.0,52.0,16.369047619,50.9259259259,10.753968254,50.1851851852,5.35714285714,37.5,14.880952381,59.5238095238,0,0,47.3611111111,0,47.3611111111,B
Ukraine,RUSSIA AND EURASIA,61.97,21.39,35.8,43.41,40.64,45064000.0,0.466853972426,210400.0,57.0,19.9404761905,62.037037037,10.2380952381,47.7777777778,1.78571428571,12.5,15.4761904762,61.9047619048,0,0,47.4404761905,-1,46.4404761905,B
United Arab Emirates,MIDDLE EAST AND NORTH AFRICA,41.71,22.64,30.75,18.36,28.37,9157000.0,0.404284594056,37000.0,40.0,20.5357142857,63.8888888889,7.85714285714,36.6666666667,8.03571428571,56.25,14.2857142857,57.1428571429,0,0,50.7142857143,-1,49.7142857143,B
United Kingdom,EUROPE,18.45,20.37,21.83,46.5,26.79,64856000.0,0.018,11700.0,3.0,23.9880952381,74.6296296296,16.9444444444,79.0740740741,6.25,43.75,17.2619047619,69.0476190476,2.67857142857,37.5,67.123015873,0,67.123015873,BBB
United States,AMERICAS,20.42,23.51,20.96,45.1,27.5,320821000.0,0.018,57700.0,2.0,30.9523809524,96.2962962963,17.0634920635,79.6296296296,9.82142857143,68.75,19.6428571429,78.5714285714,5.35714285714,75,82.8373015873,0,82.8373015873,BBB*
Uruguay,AMERICAS,26.65,20.69,28.36,13.89,22.4,3432000.0,0.228446522977,7800.0,47.0,13.0357142857,40.5555555556,9.36507936508,43.7037037037,6.25,43.75,19.6428571429,78.5714285714,0,0,48.2936507937,0,48.2936507937,B
Uzbekistan,RUSSIA AND EURASIA,74.62,28.35,32.09,12.14,36.8,31125000.0,3.972895,1236600.0,130.0,7.79761904762,24.2592592593,5.07936507937,23.7037037037,2.67857142857,18.75,13.0952380952,52.380952381,0,0,28.6507936508,-2,26.6507936508,CC
Venezuela,AMERICAS,58.82,27.75,55.42,35.94,44.48,31108000.0,0.639105058845,198800.0,122.0,8.03571428571,25,8.76984126984,40.9259259259,1.78571428571,12.5,10.119047619,40.4761904762,0,0,28.7103174603,0,28.7103174603,CC
Viet Nam,ASIA,51.19,29.94,35.22,1.0,29.34,91519000.0,0.152254723063,139300.0,60.0,14.5238095238,45.1851851852,7.30158730159,34.0740740741,8.92857142857,62.5,16.6666666667,66.6666666667,0,0,47.4206349206,-2,45.4206349206,B
Yemen,MIDDLE EAST AND NORTH AFRICA,75.01,51.3,54.67,62.28,60.81,26832000.0,1.130009,303200.0,0.0,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Zambia,SUBSAHARAN AFRICA,45.1,58.76,50.03,24.46,44.59,16212000.0,0.674435932503,109300.0,105.0,10.8928571429,33.8888888889,6.38888888889,29.8148148148,6.25,43.75,9.52380952381,38.0952380952,0,0,33.0555555556,0,33.0555555556,CCC
Zimbabwe,SUBSAHARAN AFRICA,60.28,52.25,48.92,26.78,47.06,15603000.0,0.638396570595,99600.0,147.0,4.94047619048,15.3703703704,4.40476190476,20.5555555556,1.78571428571,12.5,10.7142857143,42.8571428571,0,0,21.8452380952,-1,20.8452380952,CC
