Country,REGION,Dimension 1: Political Rights and Safety,Dimension 2: Financial and Health Protections,Dimension 3: Protection for the Most Vulnerable,Dimension 4: Conflict,Mean Vulnerability ,POPULATION,ESTIMATED PROPORTION OF POPULATION IN MODERN SLAVERY,ESTIMATED NUMBER IN MODERN SLAVERY,GOVERNMENT RESPONSE RANK,Milestone 1: Victims are supported to exit slavery (/32),Milestone 1: Victims are supported to exit slavery (%),Milestone 2: Criminal justice responses (/21),Milestone 2: Criminal justice responses (%),Milestone 3: Coordination and accountability (/14),Milestone 3: Coordination and accountability (%),Milestone 4: Addressing risk (/25),Milestone 4: Addressing risk (%),Milestone 5: Investigating supply chains (/7),Milestone 5: Investigating supply chains (%),Total score (/100),Corruption or state sanctioned forced labour score (/-2),Total score (U-V),CREDIT rating
Burkina Faso,SUBSAHARAN AFRICA,59.55,40.77,40.73,25.98,41.76,18106000.0,0.638396570595,115600.0,82.0,15.2380952381,47.4074074074,6.54761904762,30.5555555556,5.35714285714,37.5,10.7142857143,42.8571428571,0,0,37.8571428571,0,37.8571428571,CCC
Burundi,SUBSAHARAN AFRICA,64.08,52.22,51.4,37.17,51.22,11179000.0,0.638396570595,71400.0,137.0,9.52380952381,29.6296296296,3.1746031746,14.8148148148,2.67857142857,18.75,9.52380952381,38.0952380952,0,0,24.9007936508,-1,23.9007936508,CC
Cambodia,ASIA,53.68,42.96,57.4,12.0,41.51,15578000.0,1.64824110926,256800.0,89.0,8.09523809524,25.1851851852,7.14285714286,33.3333333333,5.35714285714,37.5,16.0714285714,64.2857142857,0,0,36.6666666667,-1,35.6666666667,CCC
Cameroon,SUBSAHARAN AFRICA,61.31,43.37,47.95,52.51,51.29,23344000.0,0.626048091197,146100.0,98.0,9.7619047619,30.3703703704,7.2619047619,33.8888888889,5.35714285714,37.5,11.9047619048,47.619047619,0,0,34.2857142857,0,34.2857142857,CCC
Canada,AMERICAS,17.59,23.64,15.48,36.11,23.21,35871000.0,0.018,6500.0,16.0,18.4523809524,57.4074074074,14.6825396825,68.5185185185,8.92857142857,62.5,16.0714285714,64.2857142857,0,0,58.1349206349,0,58.1349206349,BB
Cape Verde,SUBSAHARAN AFRICA,33.33,20.3,55.4,36.34,36.34,521000.0,0.452773541191,2400.0,150.0,4.88095238095,15.1851851852,3.29365079365,15.3703703704,3.57142857143,25,7.7380952381,30.9523809524,0,0,19.4841269841,0,19.4841269841,C
Central African Republic,SUBSAHARAN AFRICA,83.67,48.67,85.43,62.21,70.0,4900000.0,1.130009,55400.0,156.0,4.7619047619,14.8148148148,3.69047619048,17.2222222222,1.78571428571,12.5,1.78571428571,7.14285714286,0,0,12.0238095238,-1,11.0238095238,C
Chad,SUBSAHARAN AFRICA,70.47,49.96,47.98,40.94,52.34,14037000.0,0.638396570595,89600.0,121.0,8.63095238095,26.8518518519,2.57936507937,12.037037037,4.46428571429,31.25,13.0952380952,52.380952381,0,0,28.7698412698,0,28.7698412698,CC
Chile,AMERICAS,31.23,19.73,34.26,31.37,29.15,17948000.0,0.15441831959,27700.0,44.0,14.3452380952,44.6296296296,11.2698412698,52.5925925926,7.14285714286,50,17.2619047619,69.0476190476,0,0,50.0198412698,-1,49.0198412698,B
China,ASIA,55.12,26.9,43.84,52.78,44.66,1371738000.0,0.24701339669,3388400.0,107.0,11.4285714286,35.5555555556,5.07936507937,23.7037037037,4.46428571429,31.25,13.0952380952,52.380952381,0,0,34.0674603175,-2,32.0674603175,CCC
