Index,precinct,medianincome,green,unemployment,burglary,felonyassault,glarceny,glmotorvehicle,murder,rape,robbery,felonyTotal
55,90,0.154455669,-0.604655287,-0.044046623,1.036032877,-0.179483667,-0.136052192,0.217374788,-0.160259093,-0.162901116,0.687034452,0.250678926
56,94,0.526256291,-0.440563847,-0.276961565,-0.456290947,-1.031202924,-0.600874828,-0.249543419,-0.876083043,-1.125671922,-1.015890052,-1.004712971
57,100,-0.07190095,-0.316204112,-0.90356237,-1.516312864,-0.957956541,-1.004283747,-1.330504009,-0.811979405,-1.102303698,-1.506883545,-1.750751273
58,101,-0.688668763,0.656844489,0.423440138,-1.121947657,-0.238743304,-0.923913576,-0.930288403,0.01068394,-0.102143735,-0.834769758,-1.21766163
59,102,-0.451882559,0.426333863,-0.321768316,0.633286305,0.050193436,-0.351844153,1.773768811,-0.267098489,0.257726907,0.253920705,0.277624829
60,103,-1.179272234,-0.660785684,1.105214607,0.187309543,0.717876553,-0.168641712,0.521084503,1.004290317,1.052246504,1.110698444,0.449183229
61,104,0.428001433,-0.492010481,-0.648358613,1.526122078,-0.299107158,-0.121640093,1.76667279,-0.576932735,-0.261047654,0.014133185,0.453660135
62,105,-0.416809798,-0.316263024,-0.149974342,1.399078253,0.272877165,-0.111642511,2.180607371,0.4594094,0.902689874,0.372830116,0.747193094
63,106,-0.102006185,-0.603494443,0.107483344,0.188632917,-0.338858965,-0.358595767,1.475735913,-0.256414549,-0.148880182,0.087368783,0.002590781
64,107,0.062410782,-0.092832616,-0.469264597,0.717982189,-0.788275219,-0.065679602,1.289347085,-0.673088191,-0.429298863,-0.000435186,0.130900584
65,108,-0.239229364,-0.724029435,-0.898646124,0.541973556,-0.63994209,-0.115537673,0.976176008,-0.619668494,-0.419951574,-0.492216159,-0.062028705
66,109,-0.000636309,-0.084008883,-0.561091842,2.03032726,0.029581388,0.864614863,2.241633155,-0.202994851,-0.088122801,-0.02839071,1.349041248
67,110,-0.859970173,1.269477788,-1.136628072,0.755918887,0.130433193,0.150891391,0.352672263,-0.22436273,1.052246504,0.865792308,0.53880581
68,111,0.416204472,0.25858097,-0.647990513,0.034680503,-1.203828824,-0.355869153,0.186625362,-1.036342136,-1.31261771,-1.330094389,-0.785091189
69,112,0.16358865,-0.356489489,-0.7657547,-0.530840969,-1.164077018,-0.09034896,0.184260022,-1.004290317,-1.167734724,-1.037939479,-0.646391586
70,113,-1.298272428,-0.300455529,-0.151766267,0.619170325,0.763517515,0.264630114,1.098227576,1.100445773,1.061593793,0.357868004,0.766705645
71,114,-0.301515377,-0.561864804,-0.588998771,1.70610083,0.367839814,0.416411584,1.742546317,-0.106839395,0.640965771,0.600017963,1.132629322
72,115,-0.748002172,-0.721863406,-0.658204066,0.700337213,0.403174753,0.173093813,0.911838748,-0.373937884,1.243865936,0.678765917,0.667200083
73,120,0.352154068,0.059531991,-0.310347305,0.588291617,0.573224146,-0.361971573,0.067412203,0.587616675,1.145719398,-0.139031585,0.016274908
75,122,0.619835034,0.178184171,-0.798815438,-0.489816401,-0.830971604,-0.309646567,0.137426281,-0.683772131,-0.756453991,-1.274577081,-0.75392179
76,123,0.510194672,0.193876717,-0.934970353,-1.367653944,-1.276707136,-0.935858739,-0.929815335,-0.961554559,-1.438806116,-1.752970901,-1.739432304
